"John F. Kennedy International Airport", "JFK", "40.639751", "-73.778925"
"Los Angeles International Airport", "LAX", "33.941589", "-118.408530"
"Miami International Airport", "MIA", "25.793195", "-80.290306"
"San Francisco International Airport", "SFO", "37.618972", "-122.374889"
"Seattle-Tacoma International Airport", "SEA", "47.450250", "-122.308891"
"Charles de Gaulle Airport", "CDG", "49.012779", "2.550000"
"Heathrow Airport", "LHR", "51.477500", "-0.461389"
"Amsterdam Airport Schiphol", "AMS", "52.308601", "4.763889"
"Frankfurt Airport", "FRA", "50.026421", "8.543125"
"Barcelona-El Prat Airport", "BCN", "41.297078", "2.078464"
"Tokyo Narita Airport", "NRT", "35.764722", "140.386389"
"Singapore Changi Airport", "SIN", "1.350189", "103.994433"
"Hong Kong International Airport", "HKG", "22.308919", "113.914603"
"Incheon International Airport", "ICN", "37.469075", "126.450517"
"Kuala Lumpur International Airport", "KUL", "2.745578", "101.709917"
"Johannesburg O.R. Tambo International Airport", "JNB", "-26.139166", "28.246000"
"Cairo International Airport", "CAI", "30.121900", "31.405556"
"Lagos Murtala Muhammed International Airport", "LOS", "6.577369", "3.321156"
"Cape Town International Airport", "CPT", "-33.964839", "18.601611"
"Nairobi Jomo Kenyatta International Airport", "NBO", "-1.319167", "36.927528"
"Sydney Airport", "SYD", "-33.946111", "151.177222"
"Auckland Airport", "AKL", "-37.008056", "174.791667"
"Brisbane Airport", "BNE", "-27.384167", "153.117500"
"Fiji Nadi International Airport", "NAN", "-17.755392", "177.443378"
"Tahiti Faa'a International Airport", "PPT", "-17.556667", "-149.611389"
